Model,Accuracy,Precision,Recall,F1,Inference Time
EfficientNetB0,0.3,0.38523867831457825,0.3,0.28112635411935344,19.29066801071167
MobileNetV2,0.3230769230769231,0.39085513975433295,0.3230769230769231,0.30329782819217127,12.54017686843872
ResNet50,0.4897435897435897,0.511754653028737,0.4897435897435897,0.47372074363741995,52.1364963054657
VGG16,0.32051282051282054,0.35969685848632366,0.32051282051282054,0.2853804622024596,133.23781967163086
